8.64,8.48,6205,1,17613682
8.76,9.02,5605,1,14245998
8.75,9.06,567,0,13624328
8.89,9.02,7973,1,13395400
8.68,7.6,5471,1,12983330
9.53,8.86,2307,1,12811206
8.31,8.97,8123,1,12705700
9.79,9.23,4242,1,12319542
8.22,8.01,8064,1,11565078
7.73,7.5,582,1,11453338
6.07,8.97,3626,1,11372451
9.52,8.32,6844,0,10494499
9.62,9.12,436,0,10296101
9.58,9.09,548,0,10273803
8.99,7.95,6411,1,9699092
9.51,7.96,4792,1,9134586
9.67,8.85,1991,0,9001309
8.17,7.97,6149,1,8914845
9.46,8.68,1975,0,8677249
9.55,8.99,3734,1,8656397
8.11,8.27,5616,1,8646758
8.15,9.13,1468,1,8487894
8.91,9.19,640,1,8245523
8.49,8.3,6389,1,7817459
9.49,7.07,971,1,7784807
8.17,7.98,6173,1,7759473
9.18,8.73,1315,1,7575899
7.72,8.11,627,1,7505700
8.75,8.41,6163,0,7487545
8.63,7.95,2070,1,7466976
9,9.11,523,1,7328820
8.83,7.81,2840,1,7166199
8.59,8.11,8124,1,7147879
8.26,8.37,5482,1,7118592
9.52,8.32,281,0,7074867
7.77,8.98,5077,1,7071763
7.57,8.05,6411,1,7049643
9.35,8.47,3143,1,6965706
9.59,7.11,4590,1,6953800
8.83,7.6,3184,0,6878264
9.31,7.73,410,1,6686912
9.28,8.64,3229,1,6654837
9.57,9.01,828,0,6396528
9.1,9.21,1797,1,6282774
8.67,8.22,3450,1,6246849
8.86,8.18,1858,1,6136928
9.59,8.74,2573,1,6126488
9.32,8.81,694,0,6125154
9.45,8.99,4657,1,6043458
9.34,9.21,200,0,5926948
9.61,8.33,1704,0,5911890
9.1,6.83,2654,1,5602543
8.23,8.4,3092,1,5593551
7.63,8.26,2304,1,5583596
9.26,7.88,900,0,5546792
9.19,8.87,1404,1,5507106
8.35,7.77,5035,1,5496547
8.89,7.64,1047,0,5462953
9.29,8.71,905,0,5446379
8.46,8.31,5240,1,5440945
8.54,8.09,2557,1,5316015
9.51,8.77,1512,1,5310510
6.18,6.6,644,1,5295801
9.29,8.2,1306,1,5237525
7.87,8.05,3403,1,5181014
8.8,8.8,1231,0,5137995
7.5,9.08,400,1,5071619
9.46,8.73,683,1,5062722
9.55,9.06,395,0,4968687
9.54,7.59,2560,1,4897551
9.6,8.41,665,0,4875494
9.03,7.76,1704,0,4853123
9.8,9.23,181,0,4801355
9.09,8.13,1432,1,4786259
9.28,6.92,7101,1,4774895
9.31,8.59,1486,1,4710454
9.72,9.35,46,0,4703245
9.22,8.93,276,0,4697142
8.99,8.89,1377,1,4682492
9.46,8.73,329,1,4673009
9.56,8.22,422,0,4666990
9.23,9.26,1661,1,4662822
9.13,8.55,2755,1,4598583
8.14,8.39,2309,1,4571145
8.91,8.18,301,1,4568891
8.96,8.44,211,0,4554785
7.8,7.23,2437,1,4513026
9.23,7.36,415,1,4498335
9.6,9.31,392,0,4400298
9.67,8.85,244,1,4316003
9.16,8.87,707,0,4313871
9.43,8.53,336,0,4300670
7.9,7.08,8429,1,4277071
9.03,7.76,1159,0,4168350
9.66,7.42,158,1,4136101
9.28,8.35,4541,1,4131248
9.02,8.65,3389,1,4110645
8.67,5.7,189,0,4090795
8.52,8.28,960,1,4088799
9.69,9.32,329,0,4087355
8.52,8.88,1562,1,4057546
9.3,8.59,639,0,4044582
8.88,8.53,628,0,4002134
4.38,7.29,7738,0,4001813
9.36,8.63,2311,1,3984812
9.34,8.91,1166,0,3963220
8.97,8.09,2125,1,3893216
8.46,7.67,4103,1,3872015
9.05,7.06,4007,1,3849433
8.92,8.75,269,0,3842441
9.13,7.21,1317,1,3779553
8.9,8.3,819,1,3726134
9.48,8.97,257,0,3653238
9,7.29,599,0,3628858
9.56,8.76,2038,0,3616241
9.54,8.97,7381,0,3610642
9.69,9.16,1288,0,3586523
9.26,9.06,103,0,3579666
8.82,8.04,9560,1,3562123
9.12,8.59,400,0,3504990
8.74,8.92,929,1,3450941
9.57,9,3810,1,3450143
9.59,9.02,110,0,3427464
9.38,8.77,3634,1,3423920
8.99,6.99,1647,1,3408144
5.6,8.23,2587,1,3385706
9.55,8.15,1650,0,3379762
9.62,9.15,111,0,3375735
9.25,8.21,812,0,3317196
9.02,7.78,3135,0,3273879
9.71,9.11,270,0,3247558
7.34,7.71,3390,1,3239371
9.26,8.27,384,0,3227452
9.56,8.1,191,0,3130046
8.1,7.87,2100,1,3125069
7.83,7.08,4678,0,3119023
8.8,8.33,427,1,3100113
9.56,9.06,1228,1,3068544
9.02,8.43,940,1,3059812
9.58,8.35,488,0,3045283
9.04,7.66,6164,1,3044134
9.47,8.4,1285,0,3039889
8.4,7.33,1201,1,3035116
9.56,7.98,2122,1,3013523
